STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-HTDH-NORMAL,HLY-PRES-10PCTL,HLY-PRES-90PCTL,HLY-PRES-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-AVGSPD,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T00:00:00,27.6,37.7,27.3,1004.2,1023.6,1014.6,25.0,52.0,34.7,30.5,2.0,14.0,7.0,74.0,0.6
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T01:00:00,27.5,36.8,28.2,1003.8,1023.6,1014.6,24.1,51.1,33.8,29.8,8.0,12.0,6.4,39.0,0.6
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T02:00:00,27.3,36.0,29.1,1003.4,1023.5,1014.5,23.0,50.0,33.0,28.6,2.0,14.0,6.6,15.0,1.0
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T03:00:00,27.2,35.3,29.8,1003.5,1023.5,1014.4,23.0,50.0,32.3,27.8,2.0,12.6,6.5,32.0,0.9
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T04:00:00,27.0,34.7,30.4,1003.5,1023.9,1014.5,21.9,48.9,31.700000000000003,27.2,2.0,15.0,6.5,34.0,1.2
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T05:00:00,26.8,34.2,30.8,1004.0,1023.9,1014.7,21.0,48.0,31.200000000000003,26.3,2.0,16.3,6.6,26.0,1.1
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T06:00:00,26.7,33.9,31.1,1004.2,1024.7,1015.1,21.0,48.0,30.9,25.9,2.0,16.4,7.0,18.0,1.3
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T07:00:00,27.7,36.2,28.8,1004.4,1025.2,1015.4,24.1,48.9,33.2,28.0,2.0,15.8,7.4,12.0,1.6
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T08:00:00,27.7,39.0,26.0,1004.3,1025.7,1015.5,27.0,52.0,36.0,30.6,8.0,15.6,9.0,15.0,1.4
USW00014991,"EAU CLAIRE RGNL AP, WI US",44.8664,-91.4878,269.7,04-09T09:00:00,27.6,41.6,23.4,1004.8,1025.6,1015.5,28.9,55.9,38.6,33.5,8.0,17.0,9.9,353.0,1.0
